name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type
service_point661726,638,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point590726,792,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point579207,1063,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747834,360,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748093,96,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point669044,75,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point621458,457,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point573820,155,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point619610,665,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point614078,412,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point678581,553,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point652558,9,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841960,1216,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841966,674,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point648939,1210,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point664170,352,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748587,924,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point656839,1201,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point643387,88,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point676958,1181,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747268,544,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point564569,885,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point682827,1118,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point648801,1077,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point621955,1,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point612264,852,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654425,461,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841969,1032,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747059,1078,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841961,1171,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point619515,251,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point590263,790,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535392,560,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point657961,695,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2448541,875,0.001,0.0003,0.0,0.0,,1.0,True,wye
