premnum,Load
480237,0.292146118721461
480651,0.292146118721461
480660,0.292146118721461
480663,0.292146118721461
480711,0.292146118721461
480713,0.292146118721461
480809,0.292146118721461
480865,0.292146118721461
480891,0.292146118721461
480892,0.292146118721461
480900,0.292146118721461
481074,0.292146118721461
481102,0.292146118721461
481195,0.292146118721461
481339,0.292146118721461
481476,0.292146118721461
481559,0.292146118721461
481562,0.292146118721461
481564,0.292146118721461
481689,0.292146118721461
481936,0.292146118721461
481937,0.292146118721461
481974,0.292146118721461
482031,0.292146118721461
482525,0.292146118721461
482597,0.292146118721461
482649,0.292146118721461
482685,0.292146118721461
482945,0.292146118721461
482953,0.292146118721461
482968,0.292146118721461
482972,0.292146118721461
497005,0.292146118721461
497194,0.292146118721461
497364,0.292146118721461
497373,0.292146118721461
497432,0.292146118721461
497433,0.292146118721461
497544,0.292146118721461
497572,0.292146118721461
497755,0.292146118721461
497794,0.292146118721461
497796,0.292146118721461
497806,0.292146118721461
497931,0.292146118721461
497944,0.292146118721461
497972,0.292146118721461
497973,0.292146118721461
498019,0.292146118721461
498061,0.292146118721461
498100,0.292146118721461
498132,0.292146118721461
498137,0.292146118721461
498197,0.292146118721461
498208,0.292146118721461
498212,0.292146118721461
498225,0.292146118721461
498239,0.292146118721461
498279,0.292146118721461
498302,0.292146118721461
498317,0.292146118721461
498434,0.292146118721461
498529,0.292146118721461
498541,0.292146118721461
498560,0.292146118721461
498594,0.292146118721461
498623,0.292146118721461
647373,0.292146118721461
647416,0.292146118721461
647512,0.292146118721461
647529,0.292146118721461
647640,0.292146118721461
648908,0.292146118721461
649057,0.292146118721461
649115,0.292146118721461
649185,0.292146118721461
649484,0.292146118721461
649669,0.292146118721461
680844,0.292146118721461
680873,0.292146118721461
695227,0.292146118721461
695319,0.292146118721461
695324,0.292146118721461
710891,0.292146118721461
741194,0.292146118721461
741241,0.292146118721461
741514,0.292146118721461
741556,0.292146118721461
742427,0.292146118721461
743278,0.292146118721461
744572,0.292146118721461
744678,0.292146118721461
744771,0.292146118721461
744803,0.292146118721461
744840,0.292146118721461
745251,0.292146118721461
745252,0.292146118721461
745254,0.292146118721461
745255,0.292146118721461
745264,0.292146118721461
745623,0.292146118721461
745880,0.292146118721461
746015,0.292146118721461
746591,0.292146118721461
746753,0.292146118721461
747023,0.292146118721461
747128,0.292146118721461
747347,0.292146118721461
747487,0.292146118721461
747667,0.292146118721461
747802,0.292146118721461
748430,0.292146118721461
749129,0.292146118721461
749657,0.292146118721461
749872,0.292146118721461
750050,0.292146118721461
750224,0.292146118721461
750873,0.292146118721461
751271,0.292146118721461
752713,0.292146118721461
752829,0.292146118721461
752942,0.292146118721461
752969,0.292146118721461
753102,0.292146118721461
753143,0.292146118721461
753148,0.292146118721461
753386,0.292146118721461
753407,0.292146118721461
753521,0.292146118721461
753696,0.292146118721461
753726,0.292146118721461
753865,0.292146118721461
753870,0.292146118721461
754020,0.292146118721461
754227,0.292146118721461
754345,0.292146118721461
754465,0.292146118721461
754467,0.292146118721461
754476,0.292146118721461
754494,0.292146118721461
755310,0.292146118721461
755603,0.292146118721461
755747,0.292146118721461
755831,0.292146118721461
755931,0.292146118721461
756273,0.292146118721461
756335,0.292146118721461
756477,0.292146118721461
756870,0.292146118721461
757341,0.292146118721461
757521,0.292146118721461
757549,0.292146118721461
758370,0.292146118721461
758445,0.292146118721461
758582,0.292146118721461
758626,0.292146118721461
758667,0.292146118721461
758788,0.292146118721461
758789,0.292146118721461
759039,0.292146118721461
759040,0.292146118721461
759072,0.292146118721461
759119,0.292146118721461
759308,0.292146118721461
759647,0.292146118721461
759648,0.292146118721461
759924,0.292146118721461
759948,0.292146118721461
760361,0.292146118721461
760518,0.292146118721461
760743,0.292146118721461
760851,0.292146118721461
760852,0.292146118721461
761015,0.292146118721461
761965,0.292146118721461
761975,0.292146118721461
762410,0.292146118721461
762506,0.292146118721461
762520,0.292146118721461
762913,0.292146118721461
763371,0.292146118721461
763398,0.292146118721461
763849,0.292146118721461
764234,0.292146118721461
764303,0.292146118721461
764560,0.292146118721461
764688,0.292146118721461
765678,0.292146118721461
766665,0.292146118721461
766723,0.292146118721461
767095,0.292146118721461
769083,0.292146118721461
769238,0.292146118721461
769378,0.292146118721461
769643,0.292146118721461
769730,0.292146118721461
770078,0.292146118721461
770133,0.292146118721461
770143,0.292146118721461
770377,0.292146118721461
770886,0.292146118721461
770921,0.292146118721461
770945,0.292146118721461
771317,0.292146118721461
771417,0.292146118721461
771604,0.292146118721461
772364,0.292146118721461
772365,0.292146118721461
772838,0.292146118721461
772876,0.292146118721461
773123,0.292146118721461
773225,0.292146118721461
