loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
1.1330513226470835e-05,cable1184230,,75,220,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759189524277302e-06,cable3338181,,421,47,0.010319559099999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,busbar254546,,197,424,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0003288860712147061,simulated161553372_69876538,,110,569,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,busbar255624,,93,814,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00017299906651326464,geo_schematic_cable23100,,459,452,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.106607864678451e-11,cable1508103,,275,526,0.051138413300000005,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00012457763156662117,cable1204786,,669,106,0.0182011218,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.75918546289778e-06,cable3255759,,553,161,0.017833324600000002,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665252018250194e-06,cable1193659,,104,403,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518365566794733e-05,cable1137312,,703,9,0.0111989542,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0004810750634731346,geo_schematic_cable1841,,166,1074,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518384576049124e-05,cable1127874,,76,587,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.580620834509085e-06,cable3255752,,974,453,0.021481574599999997,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759192288024562e-06,cable1192592,,553,221,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.3825849052988097e-11,geo_schematic_cable36511,,782,1014,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759185951606101e-06,cable3338919,,739,353,0.012124437500000002,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759188631108154e-06,cable3338918,,17,667,0.0464201676,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1482189606683542e-05,cable2797795,,646,876,0.018908678999999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,cable1114293,,36,791,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.580617752695696e-06,cable2187598,,72,501,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0015894182762968391,cable1200733,,780,583,0.20497616400000002,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True
1.132522929845663e-05,cable1172818,,20,184,0.020945599999999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.662621642415404e-06,cable3338222,,253,265,0.0463008648,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759191799318856e-06,cable1132082,,316,689,0.0182400905,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00012056289624531919,geo_schematic_cable332945,,934,341,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759188631108153e-06,cable3338879,,415,621,0.0176488543,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.7591930969628836e-06,cable3338900,,415,737,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665254315742745e-06,cable3338473,,932,1056,0.0245094571,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00044810865758563017,simulated23052190_40598,,409,420,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00012056290058574,cable3768149,,341,312,0.11787181,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.245640455371427e-07,cable1188760,,1004,948,0.221836743,1.2022,0.127,0.001,0.0,1000.0,1.0,1,,True
5.741088377843628e-06,cable3255754,,611,858,0.0211485508,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665254945792742e-06,cable3338740,,479,1188,0.010492251,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665252648299394e-06,cable3338666,,984,787,0.0154356965,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759189524277302e-06,cable3338915,,1020,406,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741089258773821e-06,cable3336386,,287,736,0.015395175,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.58062006540435e-06,cable3338285,,675,792,0.018686295999999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.6629487547041255e-05,cable1179463,,30,548,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,busbar85062,,118,976,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,busbar83735,,520,351,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.727755834353004e-05,cable1172594,,51,187,0.0168304643,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.662616936220782e-05,geo_schematic_cable134846,,224,158,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
4.988844103133158e-05,geo_schematic_cable36507,,816,88,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.662613916049244e-06,cable3338858,,44,1207,0.0155037235,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759183187855799e-06,cable3338157,,216,751,0.011445618599999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.151838181230012e-05,cable3888795,,115,495,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741090139704921e-06,cable3336354,,218,1091,0.011533185,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759186760537015e-06,cable3338189,,1009,640,0.0105032367,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
9.776351621029488e-12,geo_schematic_cable34389,,336,296,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00032920457304136603,cable3154115,,285,616,0.12231837699999999,0.2077,0.1006,0.001,0.0,1000.0,1.0,1,,True
1.132525414120122e-05,cable1177883,,372,203,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759188631108154e-06,cable3338917,,633,331,0.0419823,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0001900532143948588,geo_schematic_cable14329,,532,1160,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665248683365866e-06,cable3338669,,50,21,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00044810868157020155,busbar83733,,799,1243,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665254315742746e-06,cable3338472,,932,747,0.0159964199,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.74108381822616e-06,cable1142622,,417,292,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665252648299393e-06,cable1153989,,104,243,0.0172611847,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759183187855799e-06,cable1215887,,362,577,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,geo_schematic_cable34375,,302,1194,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
4.592870554534989e-05,cable1183975,,374,383,0.053148132599999995,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.727755915244231e-05,cable1245743,,483,703,0.0236699905,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.580620839915738e-06,cable3338323,,83,881,0.012985487300000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741090139704921e-06,cable2879802,,998,745,0.0118515958,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00025260790406583236,geo_schematic_cable69621,,914,6,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.74108381822616e-06,cable3336351,,297,1077,0.0121379433,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.3825849052988097e-11,busbar255622,,648,93,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1330497774069898e-05,cable1224147,,396,330,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665252018250194e-06,cable2767495,,277,905,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1482185719957741e-05,cable3834169,,312,229,0.020098601299999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00014156559234026296,geo_schematic_cable135179,,423,1084,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,busbar254548,,424,653,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,geo_schematic_cable36513,,1003,200,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,geo_schematic_cable34386,,18,202,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741087859896819e-06,cable3336368,,292,309,0.0141002206,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.662628536958947e-06,cable3339125,,128,1199,0.0115899146,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1330498404119193e-05,cable1225776,,717,571,0.017201262199999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.5457769164566238e-11,busbar254943,,617,10,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1330491104305987e-05,cable1141727,,571,50,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.74108583620136e-05,cable2797799,,368,554,0.057445793,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.698787978812932e-05,cable1162667,,475,142,0.0170986187,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518390423762895e-05,cable1218440,,250,466,0.0165894048,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741090139704919e-06,cable3269442,,652,1057,0.011801363399999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0006212810757312222,cable3397178,,162,435,0.10182783100000001,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True
1.1325242453007868e-05,cable1165522,,168,545,0.028068766,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.7591872492358865e-06,cable1156065,,59,983,0.0203248027,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
8.812284264146829e-12,cable2769156,,571,989,0.059530320500000004,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759183187855799e-06,cable3339032,,322,1035,0.0132779893,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.7277560618573246e-05,cable1194580,,596,115,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.66523949339148e-06,cable3338661,,52,930,0.0117592049,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.7591831878558e-06,cable3339592,,221,136,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0019124385680106052,cable2865574,,911,853,0.0508651472,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True
5.58061465464564e-06,cable4191430,,722,840,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
