,vm_pu,name,vn_kv,type,zone,in_service
137,0.951477772871419,cn-cable3338919-t2,11.0,b,,True
138,0.9885589417172747,cn-cable3246212-t1,11.0,b,,True
139,0.9544772610277084,cubicle46068,11.0,b,,True
140,0.9514777997788241,node35591462,11.0,b,,True
141,,cn-cable3342606-t2,11.0,b,,True
142,0.9514777817607912,cn-cable3338933-t2,11.0,b,,True
143,0.9514777599327968,cubicle35717,11.0,b,,True
144,0.9993467024038926,node24056503,11.0,b,,True
145,0.9514777688011327,cn-cable3338957-t2,11.0,b,,True
146,0.9544771951993521,node35592659,11.0,b,,True
147,0.9514777703126884,cubicle44807,11.0,b,,True
148,0.9819235163603638,node153774208,11.0,b,,True
149,0.9514777692134696,node67193435,11.0,b,,True
150,0.9885589149633341,node60264186,11.0,b,,True
151,0.9514778102402613,cn-cable3338942-t2,11.0,b,,True
152,0.9544772087079971,node69936009,11.0,b,,True
153,0.9885589023264145,cubicle39895,11.0,b,,True
154,0.9885589146423224,cn-cable3341610-t2,11.0,b,,True
155,0.9514777971552263,cn-cable3338200-t2,11.0,b,,True
156,0.9995039628397818,node173091617,11.0,b,,True
157,0.9677038133407118,cubicle46270,11.0,b,,True
158,0.9514777924595959,node57578105,11.0,b,,True
159,0.9514777696818507,cn-cable3338945-t2,11.0,b,,True
160,0.9993467153069252,node23058287,11.0,b,,True
161,0.9514777699652447,cubicle48199,11.0,b,,True
162,0.9514777687068908,cn-cable3338149-t2,11.0,b,,True
163,0.9672544028831109,node67195503,11.0,b,,True
164,,node29539460,11.0,b,,True
165,0.9514778156001059,node23032596,11.0,b,,True
166,0.9677038631932893,cn-geo_schematic_cable27949-t2,11.0,b,,True
167,0.999095592984834,node150179237,11.0,b,,True
168,0.9514777952825199,cn-geo_schematic_cable14468-t1,11.0,b,,True
169,0.9672543998737817,node67194808,11.0,b,,True
170,0.9544772174175248,cubicle47109,11.0,b,,True
171,0.9980275928165122,node84145216,11.0,b,,True
172,0.9984710117723559,node67195949,11.0,b,,True
173,0.9514777250341727,cn-cable3338861-t2,11.0,b,,True
174,0.967254388260667,cubicle46514,11.0,b,,True
175,0.9544772946675321,cn-geo_schematic_cable22430-t1,11.0,b,,True
176,0.9992970077088077,cn-busbar251730-t2,11.0,b,,True
177,0.9514777662734938,cn-cable3338183-t2,11.0,b,,True
178,0.9544772199926181,cn-cable3336356-t2,11.0,b,,True
179,0.967254413869251,node57577389,11.0,b,,True
180,0.9514777610593346,cubicle36854,11.0,b,,True
181,0.9677038217441389,cn-cable3339096-t2,11.0,b,,True
182,0.9514777284536569,cn-cable3338870-t2,11.0,b,,True
183,0.9672543923397002,cubicle44233,11.0,b,,True
184,0.9514778525401357,cn-geo_schematic_cable1846-t1,11.0,b,,True
185,0.9514777709910938,cubicle39130,11.0,b,,True
186,0.999095592984831,node29539805,11.0,b,,True
187,0.967254397382651,node67195527,11.0,b,,True
188,0.9993474037970423,node124410738,11.0,b,,True
189,0.9514777818770047,cubicle35614,11.0,b,,True
190,0.9544772962186141,cubicle48307,11.0,b,,True
191,0.9514777748619359,cubicle41305,11.0,b,,True
192,0.9677038138931395,cn-cable3338223-t2,11.0,b,,True
193,0.9514778012471209,cn-cable3338203-t2,11.0,b,,True
194,0.9672543760727522,node31975369,11.0,b,,True
195,0.9672543835087812,cubicle34374,11.0,b,,True
196,0.9979883859274584,node23166608,11.0,b,,True
197,0.9993467024142481,node151101321,11.0,b,,True
198,0.9514777666174413,node67193267,11.0,b,,True
199,0.9544772270247434,node69936141,11.0,b,,True
200,0.9544772866809249,node60063915,11.0,b,,True
201,0.9544771965114838,cn-cable3338328-t2,11.0,b,,True
202,0.9672543966988314,cn-cable3338473-t2,11.0,b,,True
203,0.9677038169808613,node65782801,11.0,b,,True
204,,node23214017,11.0,b,,True
205,0.9677038374457244,cubicle41722,11.0,b,,True
206,0.9984841050426355,node161553353,11.0,b,,True
207,0.9514777982156118,node67193066,11.0,b,,True
208,0.9975416668758389,node103968671,11.0,b,,True
209,0.9980275928165122,cn-busbar254954-t1,11.0,b,,True
210,0.9514777834413596,node67193396,11.0,b,,True
211,0.9992718614931346,node23009517,11.0,b,,True
212,0.9514777566945474,cubicle50360,11.0,b,,True
213,0.9672543722467247,node67194635,11.0,b,,True
214,0.9514777271657299,cn-cable3338866-t2,11.0,b,,True
215,0.9984841448997587,node69876550,11.0,b,,True
216,0.951477769218646,cubicle43556,11.0,b,,True
217,0.9514777614850629,node67193520,11.0,b,,True
218,0.9819235163326865,node23226227,11.0,b,,True
219,0.9514778066459005,node67193200,11.0,b,,True
220,0.9514777610688728,node67193582,11.0,b,,True
221,0.951477812357689,node71578497,11.0,b,,True
222,0.9885589462818922,cn-geo_schematic_cable233371-t1,11.0,b,,True
223,0.9544772653491327,cubicle40374,11.0,b,,True
224,0.9514777285665739,cubicle44805,11.0,b,,True
225,0.954477208385719,node69936064,11.0,b,,True
226,0.9514777767232313,cn-cable3338175-t2,11.0,b,,True
227,0.98192350925383,cubicle97111,11.0,b,,True
228,0.9514778079352916,node100121487,11.0,b,,True
229,0.9672544025357714,cn-cable3338667-t2,11.0,b,,True
230,0.9544772862362019,cubicle39162,11.0,b,,True
231,0.9885589180250244,cubicle42166,11.0,b,,True
232,0.9677038103618031,cn-cable3339099-t2,11.0,b,,True
