name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
cable3256247,,327,1041,0.0151211754,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338188,,38,1169,0.013355134,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2970008,,572,44,0.0281128502,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339094,,765,457,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2554555,,344,227,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338925,,575,692,0.011610122499999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1136506,,224,58,0.0256260149,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1112891,,15,898,0.0547637935,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336711,,359,269,0.011216432,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338321,,669,1033,0.010799428199999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336363,,467,700,0.0121183635,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338481,,246,1134,0.0126694396,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338176,,295,959,0.049479562199999993,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar255620,,788,785,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1135646,,912,667,0.0257022311,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1115430,,343,735,0.0278992619,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339096,,393,181,0.0112191123,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338347,,148,866,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1123105,,157,411,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable22427,,1104,647,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341618,,31,131,0.010964304000000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508055,,164,666,0.0281845067,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar85062,,263,451,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338280,,1059,911,0.0145727871,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338854,,530,753,0.0129503562,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338680,,741,382,0.0169608649,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable36501,,274,903,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1140554,,39,29,0.0528047382,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1144167,,672,422,0.014026399299999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable36469,,69,274,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1210504,,287,445,0.015523881100000001,0.869,0.124,0.001,0.0,1000.0,1.0,1,,True
cable1150448,,400,853,0.0182594552,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1155512,,82,681,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338345,,316,792,0.0144092723,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336387,,424,1175,0.014710587,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336357,,416,811,0.012622715599999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1199177,,130,739,0.0423828238,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1172455,,793,596,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable196990,,733,572,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338482,,706,76,0.0139425986,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar254541,,111,919,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338209,,205,321,0.0153608354,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated161553372_69876538,,762,259,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1130475,,534,205,0.0209746342,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable22425,,711,86,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339095,,765,1022,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1155958,,140,132,0.0439668068,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1204786,,946,305,0.0182011218,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338852,,333,1231,0.0144767049,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar255626,,36,649,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338252,,7,573,0.0124592933,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338323,,678,450,0.012985487300000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338283,,591,594,0.012246127899999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2768851,,187,1235,0.0130234074,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1158056,,225,646,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338865,,58,275,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1117952,,120,161,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338254,,114,1196,0.0127470565,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2554554,,609,344,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2798315,,464,541,0.0119209139,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1144520,,322,543,0.0198990705,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable134846,,954,1012,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339038,,361,1223,0.0130075769,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1115303,,832,165,0.033784448099999996,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1215377,,503,379,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338475,,383,674,0.0111128873,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1159589,,398,1085,0.0332694051,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1218152,,851,77,0.0634396466,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True
cable1138762,,583,299,0.03641241,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable22433,,916,833,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336367,,279,1243,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338998,,161,1082,0.010434532000000002,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339093,,348,1210,0.0159909276,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338187,,844,260,0.0129520847,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341611,,286,829,0.0141505452,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2970009,,44,699,0.0439152806,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar85068,,378,986,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1170760,,80,464,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338281,,1059,615,0.0153367735,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338251,,7,1040,0.0108518926,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3731921,,143,435,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508057,,164,23,0.0497932772,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336710,,278,1109,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable36511,,410,342,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508059,,23,819,0.0175787586,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338477,,677,1032,0.0122413386,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338226,,351,826,0.0230850386,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1152508,,298,1050,0.0547637935,0.258,0.3596,0.001,0.0,1000.0,1.0,1,,True
cable1144535,,793,474,0.041944388400000004,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1154513,,196,298,0.16189113,0.258,0.3596,0.001,0.0,1000.0,1.0,1,,True
cable1108327,,77,889,0.530241357,0.5789,0.385,0.001,0.0,1000.0,1.0,1,,True
simulated103968671_324538,,512,208,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338745,,853,553,0.0109809546,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3888790,,873,567,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1201911,,124,234,0.0175738475,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2874058,,1012,521,0.0447810165,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508081,,112,1255,0.0603513334,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2937658,,547,1228,0.37285840000000003,0.0652,0.0857,0.001,0.0,1000.0,1.0,1,,True
busbar354650,,1051,743,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated23398575_99463,,734,878,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338288,,349,357,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339671,,348,1092,0.028789972,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339031,,140,965,0.01349736,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1129648,,84,730,0.0189698827,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1170919,,742,216,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2727648,,59,442,0.0136639032,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1200969,,446,306,0.10207880400000001,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True
cable3339048,,658,1073,0.0189127074,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1221269,,257,741,0.0175351418,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336360,,558,1201,0.0118076394,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2125685,,571,140,0.0394621515,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508053,,568,164,0.0201470057,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1122816,,742,376,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable27949,,894,166,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1127361,,289,387,0.016717779,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2769360,,257,405,0.0241486505,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2788553,,994,92,0.022918291799999997,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable34381,,717,1147,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2187620,,443,12,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2972150,,44,678,0.0177728547,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1194083,,372,1048,0.018512198,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339099,,848,232,0.012592293899999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1163224,,428,223,0.0178105655,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable233370,,332,817,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1245992,,589,46,0.0217342155,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable119769,,803,870,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1112730,,132,818,0.0601457699,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336327,,345,548,0.0121695972,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1179228,,224,20,0.0124726688,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1185485,,163,60,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar355181,,126,17,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2798311,,244,221,0.011557246299999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338178,,273,790,0.0104713669,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable1858,,980,244,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1119598,,210,63,0.0197019076,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338933,,189,142,0.010291927,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338996,,161,606,0.011536192800000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1192213,,523,828,0.0252937856,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1222175,,876,430,0.045984840900000004,0.258,0.3596,0.001,0.0,1000.0,1.0,1,,True
cable3338950,,242,412,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338488,,247,10,0.011345645599999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338213,,505,433,0.011453,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1198361,,26,416,0.0197943075,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1177520,,3,330,0.0180251478,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1194580,,498,307,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1213861,,325,914,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2685761,,405,1030,0.0108752373,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3719711,,557,580,0.0118310796,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable36512,,342,150,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2797794,,773,170,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1111921,,26,303,0.0462483139,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338904,,271,490,0.012587967700000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338184,,73,940,0.015991154599999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable380327,,967,971,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338257,,24,1244,0.0118759595,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable1684,,754,128,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336389,,670,962,0.012508580500000002,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2766728,,207,441,0.0195210458,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341624,,799,4,0.0100666724,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2085241,,562,247,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated23378216_40739,,64,1212,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338903,,483,854,0.0114484717,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2769150,,444,169,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339043,,541,1127,0.058908551600000005,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336744,,170,1021,0.016347936700000003,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
