loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,vm_pu,name_x,vn_kv_x,type_x,zone_x,in_service_x,name_y,vn_kv_y,type_y,zone_y,in_service_y,x,y,coords,geometry
0.00044810859246207627,busbar83733,,171,1201,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9977262221908072,node24039692,11.0,b,,True,node24039692,11.0,b,,True,152.92103,-31.4708527,,POINT (152.92103 -31.4708527)
0.002241615291542645,cable1169914,,1188,778,0.0926866005,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True,0.9985817546544429,cn-cable1169914-t1,11.0,b,,True,cn-cable1169914-t1,11.0,b,,True,152.910034,-31.467653,,POINT (152.910034 -31.467653)
5.7591872492358865e-06,cable3338140,,975,185,0.0156841518,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.951477797715729,cubicle43678,11.0,b,,True,cubicle43678,11.0,b,,True,152.914994,-31.4680003,,POINT (152.914994 -31.4680003)
5.759187737939903e-06,cable3338089,,975,980,0.013828305,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.951477797715729,cubicle43678,11.0,b,,True,cubicle43678,11.0,b,,True,152.914994,-31.4680003,,POINT (152.914994 -31.4680003)
7.927668508829065e-05,cable1173947,,537,750,0.0119757879,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9677038227174453,node65782801,11.0,b,,True,node65782801,11.0,b,,True,152.911199,-31.4674823,,POINT (152.911199 -31.4674823)
4.607350934372889e-05,cable1211042,,86,76,0.0376386052,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777627945921,node69622925,11.0,b,,True,node69622925,11.0,b,,True,152.915923,-31.4666419,,POINT (152.915923 -31.4666419)
5.183267884760797e-05,cable1128596,,86,713,0.041526105,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777627945921,node69622925,11.0,b,,True,node69622925,11.0,b,,True,152.915923,-31.4666419,,POINT (152.915923 -31.4666419)
2.303673747000677e-05,cable1131659,,86,434,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777627945921,node69622925,11.0,b,,True,node69622925,11.0,b,,True,152.915923,-31.4666419,,POINT (152.915923 -31.4666419)
7.463414010267325e-05,geo_schematic_cable22425,,1,502,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544773205126472,node58449861,11.0,b,,True,node58449861,11.0,b,,True,152.920963,-31.4708563,,POINT (152.920963 -31.4708563)
0.0003731707463216954,geo_schematic_cable22432,,1,325,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544773205126472,node58449861,11.0,b,,True,node58449861,11.0,b,,True,152.920963,-31.4708563,,POINT (152.920963 -31.4708563)
