loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,vm_pu_x,name_x_x,vn_kv_x_x,type_x_x,zone_x_x,in_service_x_x,name_y_x,vn_kv_y_x,type_y_x,zone_y_x,in_service_y_x,x_x,y_x,coords_x,geometry_x,vm_pu_y,name_x_y,vn_kv_x_y,type_x_y,zone_x_y,in_service_x_y,name_y_y,vn_kv_y_y,type_y_y,zone_y_y,in_service_y_y,x_y,y_y,coords_y,geometry_y
5.665245348496444e-06,cable1154261,,245,879,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672543837080859,node67195527,11.0,b,,True,node67195527,11.0,b,,True,152.906474,-31.4660412,,POINT (152.906474 -31.4660412),0.967254383597011,cubicle43093,11.0,b,,True,cubicle43093,11.0,b,,True,152.906489,-31.4660529,,POINT (152.906489 -31.4660529)
5.665248066353451e-05,cable1171346,,245,224,0.0399610252,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672543837080859,node67195527,11.0,b,,True,node67195527,11.0,b,,True,152.906474,-31.4660412,,POINT (152.906474 -31.4660412),0.9672543792694104,node67195609,11.0,b,,True,node67195609,11.0,b,,True,152.906509,-31.4663758,,POINT (152.906509 -31.4663758)
1.1330507390426361e-05,cable1150712,,245,754,0.018527095,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672543837080859,node67195527,11.0,b,,True,node67195527,11.0,b,,True,152.906474,-31.4660412,,POINT (152.906474 -31.4660412),0.9672543832965057,cubicle41966,11.0,b,,True,cubicle41966,11.0,b,,True,152.906286,-31.4660827,,POINT (152.906286 -31.4660827)
5.58061774187596e-06,cable2187596,,281,423,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235221308713,node36726519,11.0,b,,True,node36726519,11.0,b,,True,152.921004,-31.4682923,,POINT (152.921004 -31.4682923),0.9819235220214556,cubicle77076,11.0,b,,True,cubicle77076,11.0,b,,True,152.920987,-31.4682818,,POINT (152.920987 -31.4682818)
2.7903066329677225e-05,cable2554553,,281,547,0.0165117964,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235221308713,node36726519,11.0,b,,True,node36726519,11.0,b,,True,152.921004,-31.4682923,,POINT (152.921004 -31.4682923),0.9819235212275457,node52761082,11.0,b,,True,node52761082,11.0,b,,True,152.920833,-31.4682695,,POINT (152.920833 -31.4682695)
5.245619335624896e-07,busbar87065,,594,312,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9995536727440476,cn-busbar87065-t1,11.0,b,,True,cn-busbar87065-t1,11.0,b,,True,152.895559,-31.4649602,,POINT (152.895559 -31.4649602),0.9995536727336906,cn-busbar87065-t2,11.0,b,,True,cn-busbar87065-t2,11.0,b,,True,152.895621,-31.4649457,,POINT (152.895621 -31.4649457)
0.0,geo_schematic_cable233370,,600,35,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589494081618,node23015020,11.0,b,,True,node23015020,11.0,b,,True,152.895606,-31.4621773,,POINT (152.895606 -31.4621773),0.9885589494081618,node84281775,11.0,b,,True,node84281775,11.0,b,,True,152.895605,-31.4621779,,POINT (152.895605 -31.4621779)
0.0,geo_schematic_cable233324,,600,359,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589494081618,node23015020,11.0,b,,True,node23015020,11.0,b,,True,152.895606,-31.4621773,,POINT (152.895606 -31.4621773),0.9885589494081618,node84281688,11.0,b,,True,node84281688,11.0,b,,True,152.895608,-31.4621771,,POINT (152.895608 -31.4621771)
5.741090139704921e-06,cable3336382,,818,552,0.0145698423,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772193799426,cubicle44837,11.0,b,,True,cubicle44837,11.0,b,,True,152.9216,-31.4705797,,POINT (152.9216 -31.4705797),0.9544772192159412,cn-cable3336382-t2,11.0,b,,True,cn-cable3336382-t2,11.0,b,,True,152.921552,-31.4704553,,POINT (152.921552 -31.4704553)
5.741090139704921e-06,cable3336369,,818,414,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772193799426,cubicle44837,11.0,b,,True,cubicle44837,11.0,b,,True,152.9216,-31.4705797,,POINT (152.9216 -31.4705797),0.9544772192673803,cn-cable3336369-t2,11.0,b,,True,cn-cable3336369-t2,11.0,b,,True,152.921561,-31.4706425,,POINT (152.921561 -31.4706425)
5.543161465170618e-06,cable3341613,,559,992,0.012099487800000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589219807573,cubicle33092,11.0,b,,True,cubicle33092,11.0,b,,True,152.894849,-31.4623445,,POINT (152.894849 -31.4623445),0.9885589218492584,cn-cable3341613-t2,11.0,b,,True,cn-cable3341613-t2,11.0,b,,True,152.894728,-31.4623112,,POINT (152.894728 -31.4623112)
1.1086317603046878e-05,cable1219209,,559,415,0.0203636601,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589219807573,cubicle33092,11.0,b,,True,cubicle33092,11.0,b,,True,152.894849,-31.4623445,,POINT (152.894849 -31.4623445),0.9885589215381274,cubicle34222,11.0,b,,True,cubicle34222,11.0,b,,True,152.895053,-31.4622983,,POINT (152.895053 -31.4622983)
0.0001205628815305641,geo_schematic_cable332945,,353,335,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544773035230499,node58449853,11.0,b,,True,node58449853,11.0,b,,True,152.920933,-31.4708567,,POINT (152.920933 -31.4708567),0.9544773011592461,node149685038,11.0,b,,True,node149685038,11.0,b,,True,152.921214,-31.4715439,,POINT (152.921214 -31.4715439)
0.0,cable1216676,,90,892,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.951477763994178,node71579058,11.0,b,,True,node71579058,11.0,b,,True,152.915914,-31.4662704,,POINT (152.915914 -31.4662704),0.951477763994178,node102516890,11.0,b,,True,node102516890,11.0,b,,True,152.915902,-31.4662637,,POINT (152.915902 -31.4662637)
1.1518381323596123e-05,cable1173898,,90,573,0.0205341883,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.951477763994178,node71579058,11.0,b,,True,node71579058,11.0,b,,True,152.915914,-31.4662704,,POINT (152.915914 -31.4662704),0.9514777635304461,cubicle45831,11.0,b,,True,cubicle45831,11.0,b,,True,152.915759,-31.4663986,,POINT (152.915759 -31.4663986)
2.8795952660172684e-05,cable1178131,,90,761,0.0312076134,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.951477763994178,node71579058,11.0,b,,True,node71579058,11.0,b,,True,152.915914,-31.4662704,,POINT (152.915914 -31.4662704),0.9514777622322422,node71579002,11.0,b,,True,node71579002,11.0,b,,True,152.9158,-31.4660416,,POINT (152.9158 -31.4660416)
1.15183853849771e-05,cable1134196,,90,574,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.951477763994178,node71579058,11.0,b,,True,node71579058,11.0,b,,True,152.915914,-31.4662704,,POINT (152.915914 -31.4662704),0.9514777637683438,cubicle44684,11.0,b,,True,cubicle44684,11.0,b,,True,152.915929,-31.4662681,,POINT (152.915929 -31.4662681)
0.00048137948043345814,busbar88081,,1144,603,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9981406399426986,cn-busbar88081-t1,11.0,b,,True,cn-busbar88081-t1,11.0,b,,True,152.914746,-31.4667871,,POINT (152.914746 -31.4667871),0.998140630121809,cn-busbar88081-t2,11.0,b,,True,cn-busbar88081-t2,11.0,b,,True,152.914658,-31.4667709,,POINT (152.914658 -31.4667709)
3.397575877904352e-05,cable1220681,,260,448,0.028491518,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9677038340058369,node69877060,11.0,b,,True,node69877060,11.0,b,,True,152.912263,-31.4685421,,POINT (152.912263 -31.4685421),0.9677038321078958,node69877027,11.0,b,,True,node69877027,11.0,b,,True,152.911959,-31.4686448,,POINT (152.911959 -31.4686448)
5.543158313645772e-06,cable3341612,,273,821,0.0129543014,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589155614316,cubicle48965,11.0,b,,True,cubicle48965,11.0,b,,True,152.894442,-31.4624364,,POINT (152.894442 -31.4624364),0.9885589154206424,cn-cable3341612-t2,11.0,b,,True,cn-cable3341612-t2,11.0,b,,True,152.89454,-31.4623552,,POINT (152.89454 -31.4623552)
5.543159139099833e-06,cable3341611,,273,133,0.0141505452,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589155614316,cubicle48965,11.0,b,,True,cubicle48965,11.0,b,,True,152.894442,-31.4624364,,POINT (152.894442 -31.4624364),0.9885589154076414,cn-cable3341611-t2,11.0,b,,True,cn-cable3341611-t2,11.0,b,,True,152.894294,-31.4624288,,POINT (152.894294 -31.4624288)
1.6741843985596384e-05,cable2554554,,547,765,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235212275457,node52761082,11.0,b,,True,node52761082,11.0,b,,True,152.920833,-31.4682695,,POINT (152.920833 -31.4682695),0.9819235208992978,node52761090,11.0,b,,True,node52761090,11.0,b,,True,152.920735,-31.4682563,,POINT (152.920735 -31.4682563)
