,name,vn_kv,type,zone,in_service,x,y,coords
315,cubicle43298,11.0,b,,True,152.894283,-31.4628071,
316,node22955028,11.0,b,,True,152.921499,-31.4685212,
317,node67193296,11.0,b,,True,152.915434,-31.4689143,
318,cubicle43981,11.0,b,,True,152.91179,-31.4676129,
319,node59313009,11.0,b,,True,152.922365,-31.4684187,
320,cn-cable3255753-t2,11.0,b,,True,152.922611,-31.4699899,
321,cn-cable3338209-t2,11.0,b,,True,152.913569,-31.4676241,
322,cubicle49322,11.0,b,,True,152.914521,-31.4672716,
323,node23529726,11.0,b,,True,152.911719,-31.4654863,
324,cn-cable3338144-t2,11.0,b,,True,152.916169,-31.4683192,
325,node71578689,11.0,b,,True,152.913126,-31.4670063,
326,cn-geo_schematic_cable14366-t1,11.0,b,,True,152.905995,-31.4653294,
327,node22932783,11.0,b,,True,152.922332,-31.4686224,
328,cn-cable3338645-t2,11.0,b,,True,152.904827,-31.464423,
329,cubicle34222,11.0,b,,True,152.895053,-31.4622983,
330,cubicle50763,11.0,b,,True,152.912115,-31.4674681,
331,node57578126,11.0,b,,True,152.914676,-31.4667546,
332,node23015020,11.0,b,,True,152.895606,-31.4621773,
333,node23319268,11.0,b,,True,152.9115,-31.4666464,
334,cubicle34606,11.0,b,,True,152.913232,-31.4661927,
335,cubicle34488,11.0,b,,True,152.914984,-31.4660077,
336,node31975379,11.0,b,,True,152.904786,-31.4641538,
337,cubicle48221,11.0,b,,True,152.921189,-31.4700518,
338,node67194574,11.0,b,,True,152.904974,-31.463271,
339,node69877043,11.0,b,,True,152.912291,-31.4685167,
340,node161553390,11.0,b,,True,152.909655,-31.4664391,
341,cn-simulated24153826_100933-t2,11.0,b,,True,152.922591,-31.4686518,
342,node60264191,11.0,b,,True,152.893763,-31.4624296,
343,node69935613,11.0,b,,True,152.920393,-31.4716968,
344,node52761090,11.0,b,,True,152.920735,-31.4682563,
345,cubicle38103,11.0,b,,True,152.920792,-31.4710165,
346,cn-geo_schematic_cable27944-t1,11.0,b,,True,152.9124,-31.4676205,
347,node67193212,11.0,b,,True,152.914741,-31.4682669,
348,cubicle40252,11.0,b,,True,152.918533,-31.4682859,
349,cubicle77077,11.0,b,,True,152.920627,-31.4682271,
350,cn-cable3338665-t2,11.0,b,,True,152.906427,-31.4656062,
351,cubicle102861,11.0,b,,True,152.910857,-31.4677032,
352,cn-cable3341615-t2,11.0,b,,True,152.895155,-31.4622277,
353,cubicle40156,11.0,b,,True,152.914364,-31.4670964,
354,cn-cable3336369-t2,11.0,b,,True,152.921561,-31.4706425,
355,cn-cable3338259-t2,11.0,b,,True,152.912826,-31.4681239,
356,node74192331,11.0,b,,True,152.905885,-31.4658533,
357,cn-cable3338288-t2,11.0,b,,True,152.920684,-31.4681684,
358,cubicle49393,11.0,b,,True,152.921844,-31.4729891,
359,cubicle50506,11.0,b,,True,152.921531,-31.4720929,
360,cn-cable3338180-t2,11.0,b,,True,152.915434,-31.4690208,
361,node101119362,11.0,b,,True,152.915548,-31.4676414,
362,cn-cable3339049-t2,11.0,b,,True,152.916882,-31.4668117,
363,cubicle43221,11.0,b,,True,152.905416,-31.4659894,
364,node67195581,11.0,b,,True,152.906686,-31.4663487,
365,cubicle34608,11.0,b,,True,152.914195,-31.4691294,
366,cubicle50237,11.0,b,,True,152.906719,-31.4648768,
367,cubicle43676,11.0,b,,True,152.912267,-31.4661447,
368,node237087015,11.0,b,,True,152.915574,-31.4655334,
369,cn-geo_schematic_cable27945-t1,11.0,b,,True,152.9124,-31.4676511,
370,node69935927,11.0,b,,True,152.920979,-31.4703634,
371,cn-cable3338480-t2,11.0,b,,True,152.905329,-31.4653289,
372,node69935686,11.0,b,,True,152.921274,-31.4715218,
373,cn-geo_schematic_cable14330-t1,11.0,b,,True,152.914661,-31.4667616,
374,cubicle111008,11.0,b,,True,152.921878,-31.4679455,
375,cn-cable3336385-t2,11.0,b,,True,152.921794,-31.4706145,
376,cubicle50353,11.0,b,,True,152.9158,-31.4660278,
377,cubicle42546,11.0,b,,True,152.914768,-31.4679062,
378,node24046367,11.0,b,,True,152.905817,-31.4652987,
379,cubicle42435,11.0,b,,True,152.91387,-31.4663429,
380,cubicle77072,11.0,b,,True,152.922029,-31.4684298,
381,node69876797,11.0,b,,True,152.910933,-31.4675238,
382,cn-cable3338680-t2,11.0,b,,True,152.907067,-31.4661435,
383,cubicle40841,11.0,b,,True,152.906018,-31.4656,
384,cn-cable3771840-t2,11.0,b,,True,152.9218,-31.4679313,
385,node58449850,11.0,b,,True,152.920928,-31.4708473,
386,cubicle43093,11.0,b,,True,152.906487,-31.466044,
387,node71578321,11.0,b,,True,152.913189,-31.4662487,
388,node102516890,11.0,b,,True,152.915902,-31.4662637,
389,node71579154,11.0,b,,True,152.915917,-31.466677,
390,node69936226,11.0,b,,True,152.921805,-31.469302,
391,cn-geo_schematic_cable233372-t2,11.0,b,,True,152.8956,-31.4621954,
392,node57577957,11.0,b,,True,152.909778,-31.4665989,
393,cubicle47400,11.0,b,,True,152.91172,-31.4683695,
394,node69622925,11.0,b,,True,152.915923,-31.4666419,
395,cubicle46985,11.0,b,,True,152.914723,-31.4667346,
396,cn-cable3339092-t2,11.0,b,,True,152.917536,-31.4677245,
397,cubicle77076,11.0,b,,True,152.920987,-31.4682818,
398,node23253360,11.0,b,,True,152.918975,-31.4681447,
399,node59283145,11.0,b,,True,152.922361,-31.4684858,
400,node67195771,11.0,b,,True,152.907348,-31.4656915,
401,node23220059,11.0,b,,True,152.916949,-31.4675311,
402,cn-cable3336350-t2,11.0,b,,True,152.920664,-31.4704252,
403,node71579238,11.0,b,,True,152.914981,-31.4680053,
404,cn-cable3336361-t2,11.0,b,,True,152.922037,-31.4691609,
405,node67196314,11.0,b,,True,152.907301,-31.4662506,
406,cn-cable3338661-t2,11.0,b,,True,152.905779,-31.4651718,
407,cn-cable3339124-t2,11.0,b,,True,152.912387,-31.4676186,
408,node141770964,11.0,b,,True,152.898704,-31.4664827,
409,cn-busbar355180-t2,11.0,b,,True,152.909524,-31.4664217,
410,node60264190,11.0,b,,True,152.893748,-31.4624338,
411,cubicle39448,11.0,b,,True,152.910998,-31.4673279,
412,cn-cable3338950-t2,11.0,b,,True,152.915312,-31.4666327,
413,node79493030,11.0,b,,True,152.921518,-31.4681632,
414,cn-cable3338930-t2,11.0,b,,True,152.915171,-31.4655908,
415,cn-cable3338215-t2,11.0,b,,True,152.911991,-31.4674079,
416,cubicle38012,11.0,b,,True,152.92129,-31.4694277,
417,cn-cable3338867-t2,11.0,b,,True,152.912357,-31.4659945,
418,cn-cable3338471-t2,11.0,b,,True,152.905906,-31.4661896,
419,cubicle40150,11.0,b,,True,152.915016,-31.465602,
420,cubicle44684,11.0,b,,True,152.915929,-31.4662681,
421,node24234571,11.0,b,,True,152.905833,-31.4652631,
422,node67193148,11.0,b,,True,152.914429,-31.4683752,
423,node71578941,11.0,b,,True,152.91497,-31.4660012,
424,cubicle68128,11.0,b,,True,152.922588,-31.4706028,
425,node65782500,11.0,b,,True,152.904709,-31.4646642,
426,cn-geo_schematic_cable27951-t2,11.0,b,,True,152.9124,-31.4676307,
427,node69876993,11.0,b,,True,152.911617,-31.4684963,
428,node69935872,11.0,b,,True,152.920879,-31.4708131,
429,cn-cable3338862-t2,11.0,b,,True,152.912147,-31.4666685,
430,node23167832,11.0,b,,True,152.897796,-31.466543,
431,cn-cable3338256-t2,11.0,b,,True,152.912277,-31.4686276,
432,cn-cable2727646-t2,11.0,b,,True,152.922601,-31.469615,
