,vm_pu,name,vn_kv,type
434,0.9672543819824383,cn-cable3338742-t2,11.0,b
435,0.9672543819792181,cn-cable3338744-t2,11.0,b
436,0.9514777541594531,cn-cable3338178-t2,11.0,b
437,0.954477216234718,cubicle38012,11.0,b
438,0.9544772130362704,node69936185,11.0,b
439,0.9819235170459528,node59312978,11.0,b
440,0.9677038274894005,cn-cable3339099-t2,11.0,b
441,0.9544772575881357,cubicle50571,11.0,b
442,0.9885589198251803,node60264186,11.0,b
443,0.9544772835427661,cn-cable3336402-t2,11.0,b
444,0.9514777669955313,node237087015,11.0,b
445,0.9514778012186306,cn-geo_schematic_cable69622-t1,11.0,b
446,0.9672543720033062,cn-cable3338489-t2,11.0,b
447,0.9672543979226401,cn-cable3338477-t2,11.0,b
448,0.9885589230582869,cn-cable3341611-t2,11.0,b
449,0.9544772827851765,cubicle38030,11.0,b
450,0.9819235006338156,node23226227,11.0,b
451,0.9993467152371116,cn-simulated23232416_101377-t2,11.0,b
452,0.9984210981724255,node23107372,11.0,b
453,0.9819235133233197,node153774263,11.0,b
454,0.9514777575669059,cubicle45950,11.0,b
455,0.9672543723542383,node67194656,11.0,b
456,0.9980275926366856,node84338536,11.0,b
457,0.9984841248504387,cn-busbar355174-t2,11.0,b
458,0.9975416687318761,cn-simulated103968671_324538-t1,11.0,b
459,0.9992970015292838,cn-busbar251726-t1,11.0,b
460,0.9885589465791154,cn-geo_schematic_cable233372-t1,11.0,b
461,0.9819235190154397,cn-geo_schematic_cable23106-t2,11.0,b
462,0.9514777141904723,cn-cable3338866-t2,11.0,b
463,0.954477249379816,cubicle49429,11.0,b
464,0.9993474037485953,node124410738,11.0,b
465,0.9992970015292838,node83235361,11.0,b
466,0.9819235005105107,cubicle35711,11.0,b
467,0.9544771926157204,cn-cable3338328-t2,11.0,b
468,0.9514777151060674,cn-cable3338869-t2,11.0,b
469,0.9514777556218339,cn-cable3338956-t2,11.0,b
470,0.9514778379169935,cn-simulated70366883_652558-t2,11.0,b
471,0.999346715249472,node84142413,11.0,b
472,0.9514777266775893,cubicle48208,11.0,b
473,0.9514778232729405,cn-cable3339038-t2,11.0,b
474,0.9995039643016538,cn-geo_schematic_cable380326-t2,11.0,b
475,0.9514777574352297,cn-cable3338143-t2,11.0,b
476,0.9672544012679573,cubicle45373,11.0,b
477,0.9514777540452013,node67193296,11.0,b
478,0.9514777664973503,cn-cable3338931-t2,11.0,b
479,0.954477297525502,node58449856,11.0,b
480,0.9677038248812535,cn-cable3338250-t2,11.0,b
481,0.9514777641567967,cn-cable3338173-t2,11.0,b
482,0.9544771955190393,cn-cable3255754-t2,11.0,b
483,0.9978799584251168,node23196578,11.0,b
484,0.9995039643016537,node59607026,11.0,b
485,0.9990955938792841,node29539787,11.0,b
486,0.999346715249472,cn-busbar254548-t2,11.0,b
487,0.9672543822970071,cubicle33239,11.0,b
488,0.9544772035503942,cn-cable3336385-t2,11.0,b
489,0.9514777615356163,cn-cable3338990-t2,11.0,b
490,0.9672543797555895,node67195151,11.0,b
491,0.9819234936643553,node52761090,11.0,b
492,0.9544771910455024,cn-cable2727649-t2,11.0,b
493,0.9514777701094213,cn-cable3338146-t2,11.0,b
494,0.9544772921907336,cn-cable3336728-t2,11.0,b
495,0.9819234900268327,cn-cable3713955-t2,11.0,b
496,0.9544772923228636,cubicle48307,11.0,b
497,0.9677038248933175,cn-cable3338229-t2,11.0,b
498,0.9514777618866428,cubicle41305,11.0,b
499,0.9677038267240204,cn-cable3338228-t2,11.0,b
500,0.9514777567065548,cn-cable3338945-t2,11.0,b
501,0.9514777480935932,node67193582,11.0,b
502,0.9995536727442799,node23398576,11.0,b
503,0.9544772502532775,cubicle44917,11.0,b
