name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
cable3261193,,108,815,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336365,,973,1171,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3255757,,89,772,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338874,,374,721,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2098867,,953,733,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338156,,675,763,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338474,,685,440,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2798312,,59,554,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338872,,374,754,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1216725,,421,704,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338285,,167,825,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1134809,,557,101,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2767002,,276,386,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338919,,498,614,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1111335,,988,420,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338926,,92,647,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1112530,,502,648,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3246217,,1092,601,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2187595,,57,854,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338642,,60,381,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338089,,655,26,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar87095,,343,881,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2554556,,424,570,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2122108,,645,546,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336384,,25,922,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338935,,607,540,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1136753,,681,53,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338922,,847,1217,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508058,,230,887,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated69876550_161553384,,811,313,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1114293,,602,1204,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338154,,958,234,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1132929,,195,339,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338649,,197,1098,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1198357,,432,51,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338667,,686,1133,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1115430,,795,19,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar85066,,496,309,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339099,,88,399,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341617,,404,989,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2970008,,217,201,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1137268,,548,165,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1153933,,602,64,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar83730,,690,435,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338742,,107,257,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1210504,,638,858,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar88081,,972,1169,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3269443,,48,863,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated33409252_83235270,,733,419,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1218440,,339,467,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1183177,,82,200,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336387,,411,296,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1131420,,549,187,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2727648,,341,894,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar355175,,106,1086,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341627,,233,828,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1174796,,83,518,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1130311,,664,174,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338213,,165,1147,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar83739,,599,906,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1209432,,785,864,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508109,,188,139,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338348,,594,844,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338140,,655,463,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1162366,,795,956,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338932,,497,674,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1114516,,57,481,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1178131,,736,288,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2085235,,761,774,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338259,,731,474,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336729,,600,178,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336744,,822,538,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2698392,,378,823,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated71243238_1841189,,112,870,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508110,,210,188,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338211,,855,8,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338683,,54,189,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1147089,,1083,286,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3269444,,672,1196,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar355183,,94,80,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable23106,,247,1040,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338920,,603,961,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339091,,23,1077,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3604370,,396,232,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable1690,,563,180,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1245338,,73,833,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336389,,466,709,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336360,,123,1079,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1173102,,29,470,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1198418,,375,248,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable1773,,654,718,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1151685,,749,1158,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable34380,,583,1177,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338344,,213,585,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1175921,,554,97,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1209083,,13,141,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1143314,,735,168,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341624,,95,812,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338473,,43,861,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338281,,470,547,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3154112,,691,724,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1208340,,554,498,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338666,,1102,1014,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339049,,23,1184,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338175,,227,1070,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1123105,,193,604,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2788248,,85,421,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338908,,14,810,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2767495,,197,768,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1181546,,138,789,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated23121435_58681,,762,1109,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1184799,,356,743,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338221,,604,425,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3604374,,232,629,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2937658,,1166,1131,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1212240,,455,119,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2797792,,45,452,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1213861,,437,608,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3977065,,112,35,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339045,,592,114,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable36510,,1027,589,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1113832,,494,656,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2125685,,541,462,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338957,,606,902,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336362,,833,1202,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable233372,,528,767,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1176211,,577,153,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable27947,,719,726,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1191856,,49,39,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1191398,,669,1173,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338343,,729,808,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
