loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type
3.4446576461838295e-05,cable1165194,,994,109,0.0555028221,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,busbar355173,,770,132,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1482167636452321e-05,cable1115472,,539,230,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0015894181617527017,cable1200733,,883,649,0.20497616400000002,0.1443,0.3363,0.001,0.0,1000.0,1.0,
5.759192288024562e-06,geo_schematic_cable342144,,163,650,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741091020636924e-06,cable3336740,,822,665,0.014795721,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0003288861113041727,busbar85065,,572,15,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665251610918573e-06,cable3338742,,713,434,0.0120067543,0.001,0.001,0.001,0.0,1000.0,1.0,
0.002252895688453884,cable3517710,,113,1157,0.17815060500000002,0.1443,0.3363,0.001,0.0,1000.0,1.0,
0.0011080542853613576,cable3154112,,649,67,0.145919462,0.1443,0.3363,0.001,0.0,1000.0,1.0,
5.759188631108155e-06,cable3338171,,243,809,0.043869729999999996,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662628536958945e-06,cable3338257,,766,871,0.0118759595,0.001,0.001,0.001,0.0,1000.0,1.0,
1.564979850456996e-11,cable3338642,,108,35,0.0190305785,0.001,0.001,0.001,0.0,1000.0,1.0,
0.002387262155375382,cable2119168,,621,266,0.0503241503,0.1443,0.3363,0.001,0.0,1000.0,1.0,
2.073877357948214e-11,busbar251728,,424,196,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741090139704921e-06,cable3336743,,791,646,0.0112820562,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518355657721881e-05,cable1134054,,154,667,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.002253219864119778,cable3154280,,1,113,0.140450824,0.1443,0.3363,0.001,0.0,1000.0,1.0,
5.665260578173941e-06,cable3338646,,95,554,0.013218837499999999,0.001,0.001,0.001,0.0,1000.0,1.0,
7.254803989529837e-05,simulated22932783_101448,,864,757,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759198624444349e-06,cable3338947,,409,988,0.010989866499999999,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518360039291089e-05,cable1171335,,498,1204,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741084544212367e-06,cable1149907,,153,535,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741096461185043e-06,cable3336389,,860,752,0.012508580500000002,0.001,0.001,0.001,0.0,1000.0,1.0,
6.798296344972118e-05,cable1144535,,14,64,0.041944388400000004,0.001,0.001,0.001,0.0,1000.0,1.0,
5.7591831878558e-06,cable3338146,,339,493,0.0115853881,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759192288024562e-06,cable3338144,,339,612,0.011527241,0.001,0.001,0.001,0.0,1000.0,1.0,
3.185875238378751e-05,geo_schematic_cable69622,,445,563,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.580620839915739e-06,cable3589940,,271,1174,0.011670133,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759188062347698e-06,cable3338993,,498,992,0.0662531037,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759190012982163e-06,cable3338923,,398,912,0.0177472678,0.001,0.001,0.001,0.0,1000.0,1.0,
,cable3342606,,586,630,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1482185719957741e-05,cable1152374,,337,275,0.0180168004,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741096461185043e-06,cable3336384,,112,879,0.0109955615,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1482177481658345e-05,cable1195632,,337,707,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662624772419765e-06,cable3339122,,128,695,0.0254423767,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,geo_schematic_cable34383,,510,613,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741087859896817e-06,cable1161714,,194,1180,0.0207982914,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518375964587684e-05,cable1217585,,22,409,0.0184301797,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00011891498254331297,cable2788248,,375,568,0.0376356102,0.001,0.001,0.001,0.0,1000.0,1.0,
5.7591859516061014e-06,cable3338155,,249,610,0.0115240969,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741090139704921e-06,cable1155512,,961,849,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.580614654645639e-06,cable3256246,,757,48,0.0126310128,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1325256833970347e-05,cable1176975,,727,343,0.0165979399,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662617522765972e-05,geo_schematic_cable134846,,712,340,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.6652424209405e-06,cable3338661,,269,1184,0.0117592049,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665248683365866e-06,cable3338487,,146,120,0.011537515900000002,0.001,0.001,0.001,0.0,1000.0,1.0,
3.348371807430217e-05,cable2187591,,394,557,0.0233287394,0.001,0.001,0.001,0.0,1000.0,1.0,
5.243266956517724e-07,simulated29539706_245936,,113,663,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759190012982164e-06,cable3339036,,305,724,0.013410276700000001,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665252018250194e-06,cable3338682,,1089,1024,0.0100452246,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665252018250194e-06,cable3338478,,580,1210,0.011777773,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665255168548207e-06,cable2085235,,764,895,0.0207300267,0.001,0.001,0.001,0.0,1000.0,1.0,
0.002253219851670959,cable2241414,,779,1,0.146051752,0.0634,0.09,0.001,0.0,1000.0,1.0,
0.00014397969833557375,geo_schematic_cable1842,,185,151,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
2.3036728369835028e-05,cable1225387,,136,16,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1482168517382987e-05,cable1194083,,23,767,0.018512198,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable2085248,,35,976,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00011640628317053673,geo_schematic_cable233372,,460,965,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable1151332,,155,107,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1330519488901225e-05,cable1221165,,530,768,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759185951606099e-06,cable3338936,,743,210,0.0125097672,0.001,0.001,0.001,0.0,1000.0,1.0,
7.463413803087222e-05,geo_schematic_cable22427,,49,479,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759186844772552e-06,cable3338866,,732,462,0.0215555542,0.001,0.001,0.001,0.0,1000.0,1.0,
5.245825980045635e-07,cable1188760,,335,502,0.221836743,1.2022,0.127,0.001,0.0,1000.0,1.0,
5.665261208221133e-06,cable3338669,,41,1115,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.3825849052988093e-11,geo_schematic_cable380325,,484,978,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00012056289210172068,geo_schematic_cable332945,,1206,532,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
2.2660996104948166e-05,cable2085237,,455,639,0.033771523799999995,0.001,0.001,0.001,0.0,1000.0,1.0,
1.7277571825281984e-05,cable2767091,,501,155,0.0168705368,0.001,0.001,0.001,0.0,1000.0,1.0,
1.6987869763580763e-05,cable1246456,,582,7,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.543152160888085e-06,cable3341619,,1160,405,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.6987867225427228e-05,cable1172129,,716,777,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741093663438368e-06,cable3336326,,577,889,0.0117540451,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00044810858688021295,cable1154513,,27,918,0.16189113,0.258,0.3596,0.001,0.0,1000.0,1.0,
5.665252018250194e-06,cable3338476,,377,1113,0.0117802393,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741086691232482e-05,cable2797799,,961,755,0.057445793,0.001,0.001,0.001,0.0,1000.0,1.0,
,cable3246211,,1140,858,0.0254998381,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518369139460155e-05,cable1135124,,360,70,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665252018250194e-06,cable2085243,,764,104,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1330493605463957e-05,cable1221269,,55,1142,0.0175351418,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759183187855799e-06,cable3338872,,898,1079,0.0113556138,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,busbar251726,,459,519,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
2.3036765983888715e-05,cable1112730,,73,102,0.0601457699,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00014397969557182274,geo_schematic_cable1840,,151,943,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741087341955164e-06,cable3269444,,207,203,0.0112921536,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662619344234469e-06,cable3338256,,777,1069,0.011573872800000001,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759192288024562e-06,cable3338143,,454,475,0.0116613239,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518378239630328e-05,cable1162383,,425,62,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
3.397572165625591e-05,cable1215066,,31,514,0.0422147862,0.001,0.001,0.001,0.0,1000.0,1.0,
5.74108381822616e-06,cable3336352,,463,1195,0.0122035815,0.001,0.001,0.001,0.0,1000.0,1.0,
