loading_percent,name_LINE,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type,vm_pu,name_NODE1,vn_kv,x,y
5.543152160888084e-06,cable3341625,,227,38,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589071882671,cubicle39895,11.0,152.89464,-31.4633128
2.265046810690684e-05,cable1180079,,239,731,0.0371502598,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038410282252,node69877027,11.0,152.911959,-31.4686448
1.1325242015766713e-05,cable1132426,,239,383,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038410282252,node69877027,11.0,152.911959,-31.4686448
5.759183187855799e-06,cable3338158,,309,958,0.0115537272,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777513023818,cubicle33460,11.0,152.917014,-31.4686761
5.759183187855799e-06,cable3338157,,309,862,0.011445618599999999,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777513023818,cubicle33460,11.0,152.917014,-31.4686761
0.000328886105038027,busbar85066,,280,572,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9984462968209178,node24046336,11.0,152.905876,-31.4653192
3.455513803883348e-05,cable1196756,,284,234,0.028073909799999998,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777877082827,node67193128,11.0,152.914534,-31.468461
5.759189524277301e-06,cable3338870,,361,1230,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777155913149,cubicle44805,11.0,152.913114,-31.4661885
1.1518369948389218e-05,cable1179228,,361,692,0.0124726688,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777155913149,cubicle44805,11.0,152.913114,-31.4661885
4.607349885329712e-05,cable1176111,,361,384,0.0339452989,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777155913149,cubicle44805,11.0,152.913114,-31.4661885
2.303674169148395e-05,cable1136506,,361,732,0.0256260149,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777155913149,cubicle44805,11.0,152.913114,-31.4661885
0.00011518370049477125,geo_schematic_cable14585,,1154,645,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777856947397,cn-geo_schematic_cable14585-t1,11.0,152.914668,-31.4667337
5.4890342899630016e-06,cable4185370,,244,946,0.012159314000000001,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9983057476766211,node74092492,11.0,152.897784,-31.4666787
5.4890342899630016e-06,cable3341083,,244,617,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9983057476766211,node74092492,11.0,152.897784,-31.4666787
1.1161257137596852e-05,cable2187590,,491,512,0.0107381556,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819234936643553,node52761090,11.0,152.920735,-31.4682563
5.58061774187596e-06,cable2554555,,491,420,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819234936643553,node52761090,11.0,152.920735,-31.4682563
5.759186760537015e-06,cable3338149,,429,1093,0.0116667734,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777558633448,cubicle43670,11.0,152.916645,-31.4684628
5.759189524277301e-06,cable3338145,,429,314,0.011526587100000001,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777558633448,cubicle43670,11.0,152.916645,-31.4684628
0.0,cable3295685,,546,739,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514778424263775,cn-cable3295685-t1,11.0,152.915975,-31.4676754
0.00014156548084384778,geo_schematic_cable135179,,94,678,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038617799392,node59740707,11.0,152.912414,-31.4676206
0.00011897020689828166,geo_schematic_cable1773,,299,552,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672544054785328,node57577377,11.0,152.906024,-31.4652982
5.741093663438368e-06,cable3336353,,633,184,0.0104454637,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772330458611,cubicle48302,11.0,152.920973,-31.4700805
5.741092937461637e-06,cable3336329,,633,823,0.011100413100000001,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772330458611,cubicle48302,11.0,152.920973,-31.4700805
0.0004810137974682145,simulated24502843_202755,,67,634,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9981453393780869,node24502843,11.0,152.915972,-31.4676748
0.0006270843688463153,cable3517571,,67,759,0.23466452599999998,0.1443,0.3363,0.001,0.0,1000.0,1.0,,0.9981453393780869,node24502843,11.0,152.915972,-31.4676748
5.6626193866322426e-05,cable2125772,,797,31,0.0442103896,0.001,0.001,0.001,0.0,1000.0,1.0,,0.967703849975492,node35592773,11.0,152.911791,-31.4670592
0.0,cable1114293,,1108,303,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777976189855,node71578836,11.0,152.91507,-31.4673289
1.1518379048554604e-05,cable1153933,,1108,643,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777976189855,node71578836,11.0,152.91507,-31.4673289
0.0,busbar355175,,132,142,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9984841314950184,node161553390,11.0,152.909655,-31.4664391
1.1518366375711598e-05,cable1245871,,16,414,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.951477764287202,cubicle40258,11.0,152.916164,-31.4685439
5.759185951606101e-06,cable3338173,,16,481,0.0115487932,0.001,0.001,0.001,0.0,1000.0,1.0,,0.951477764287202,cubicle40258,11.0,152.916164,-31.4685439
5.7591870470029265e-06,cable3338175,,16,1186,0.0477568096,0.001,0.001,0.001,0.0,1000.0,1.0,,0.951477764287202,cubicle40258,11.0,152.916164,-31.4685439
0.0004481086439633449,busbar83739,,562,984,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9977262130032373,cn-busbar83739-t1,11.0,152.921011,-31.4708602
4.988844073072479e-05,geo_schematic_cable36468,,506,1058,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589116790495,cn-geo_schematic_cable36468-t1,11.0,152.894173,-31.4632777
5.759189524277302e-06,cable3339038,,253,473,0.0130075769,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514778234198183,node101119362,11.0,152.915548,-31.4676414
5.759185462897782e-06,cable3339040,,253,1063,0.0125621403,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514778234198183,node101119362,11.0,152.915548,-31.4676414
0.00015243554819107844,cable2845348,,253,706,0.0549934077,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514778234198183,node101119362,11.0,152.915548,-31.4676414
5.741096461185043e-06,cable3336711,,275,29,0.011216432,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772318026782,cubicle50506,11.0,152.921372,-31.4721269
5.741093663438368e-06,cable3336709,,275,1105,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772318026782,cubicle50506,11.0,152.921372,-31.4721269
1.9552703242058977e-11,busbar251718,,926,803,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9993467152494706,cn-busbar251718-t1,11.0,152.893652,-31.466106
5.6652541120728e-06,cable1155011,,819,998,0.0178030967,0.001,0.001,0.001,0.0,1000.0,1.0,,0.967254388351873,node67195678,11.0,152.906765,-31.4651515
1.1330491511640163e-05,cable1115407,,819,121,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.967254388351873,node67195678,11.0,152.906765,-31.4651515
6.798303118765057e-05,cable1191176,,819,710,0.0437595159,0.001,0.001,0.001,0.0,1000.0,1.0,,0.967254388351873,node67195678,11.0,152.906765,-31.4651515
5.580623937970922e-06,cable2187621,,83,345,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235067568073,node36726543,11.0,152.922026,-31.4684419
