loading_percent,name_LINE,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type,vm_pu_NODE1,name_NODE1,vn_kv_NODE1,x_NODE1,y_NODE1,vm_pu_NODE2,name,vn_kv_NODE2,x_NODE2,y_NODE2
2.2964342475313715e-05,cable1194752,,438,539,0.0409344169,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772130362704,node69936185,11.0,152.921743,-31.4692912,0.9544772111932059,node69936226,11.0,152.922146,-31.4694156
0.00048107499031234277,geo_schematic_cable1846,,1244,1227,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514778395648458,cn-geo_schematic_cable1846-t1,11.0,152.914658,-31.4667709,0.9514778301340988,node57578110,11.0,152.914652,-31.4667599
5.741086978965369e-06,cable3336726,,767,1156,0.0149716842,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772835287061,cubicle41441,11.0,152.921683,-31.4712307,0.9544772833601818,cn-cable3336726-t2,11.0,152.921798,-31.4711394
5.741087341955164e-06,cable3336727,,767,1085,0.0117047217,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772835287061,cubicle41441,11.0,152.921683,-31.4712307,0.9544772833969551,cn-cable3336727-t2,11.0,152.921564,-31.4712041
0.0006212811382133158,cable1200969,,287,1226,0.10207880400000001,0.1443,0.3363,0.001,0.0,1000.0,1.0,,0.9980275926318001,node23378215,11.0,152.920852,-31.4685328,0.998002400016077,cn-cable1200969-t2,11.0,152.92193,-31.4685611
7.821081296823591e-11,simulated23378215_187645,,287,1026,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9980275926318001,node23378215,11.0,152.920852,-31.4685328,0.9980275926318013,cn-simulated23378215_187645-t2,11.0,152.920849,-31.4685414
1.1330472317033298e-05,cable3338644,,330,108,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672543749019422,node101117387,11.0,152.904732,-31.4644755,0.9672543746797925,cubicle69500,11.0,152.904743,-31.4644956
3.399149013680668e-05,cable3338641,,330,455,0.0382279661,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672543749019422,node101117387,11.0,152.904732,-31.4644755,0.9672543723542383,node67194656,11.0,152.9048,-31.464137
3.780746696412164e-12,cable2768858,,641,259,0.018921546299999998,0.1274,0.093,0.001,0.0,1000.0,1.0,,0.9984710116554919,node67195949,11.0,152.909416,-31.4663619,0.9984710116554972,node67195950,11.0,152.907851,-31.4664014
0.00032888611011312,cable2768859,,641,983,0.314806902,0.1274,0.093,0.001,0.0,1000.0,1.0,,0.9984710116554919,node67195949,11.0,152.909416,-31.4663619,0.9984463167235188,node67195932,11.0,152.906006,-31.4653221
7.463414435234944e-05,geo_schematic_cable332947,,479,1172,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.954477297525502,node58449856,11.0,152.920938,-31.470866,0.9544772960621952,cubicle47193,11.0,152.920938,-31.4708662
1.1086322930341236e-05,cable1137465,,98,123,0.0112855991,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589097227836,cubicle41037,11.0,152.894173,-31.4632754,0.9885589094774766,cubicle38771,11.0,152.894282,-31.4633082
5.54315913909983e-06,cable2698392,,98,1118,0.025471041899999998,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589097227836,cubicle41037,11.0,152.894173,-31.4632754,0.9885589094459608,cubicle44426,11.0,152.894324,-31.4630866
1.1086316627291543e-05,cable1219920,,98,1056,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589097227836,cubicle41037,11.0,152.894173,-31.4632754,0.9885589095054207,cubicle45569,11.0,152.894141,-31.463231
2.217263415518054e-05,cable2777154,,98,669,0.0533015203,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589097227836,cubicle41037,11.0,152.894173,-31.4632754,0.9885589074056297,node67830893,11.0,152.894197,-31.4632727
4.988843142644209e-05,geo_schematic_cable36507,,1058,98,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589107009165,node60264076,11.0,152.894179,-31.4632651,0.9885589097227836,cubicle41037,11.0,152.894173,-31.4632754
5.741077496748764e-06,cable3336364,,230,947,0.0122275705,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772109680818,cubicle40276,11.0,152.92214,-31.4694281,0.9544772108304459,cn-cable3336364-t2,11.0,152.922228,-31.469508
5.741086615985958e-06,cable3336363,,230,114,0.0121183635,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772109680818,cubicle40276,11.0,152.92214,-31.4694281,0.954477210831675,cn-cable3336363-t2,11.0,152.922016,-31.4694526
5.759185462897782e-06,cable3338905,,258,260,0.0128090927,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777435704619,cubicle43565,11.0,152.913762,-31.466483,0.9514777434258256,cn-cable3338905-t2,11.0,152.913847,-31.4665717
5.7591917993188565e-06,cable3338904,,258,1121,0.012587967700000001,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777435704619,cubicle43565,11.0,152.913762,-31.466483,0.9514777434283223,cn-cable3338904-t2,11.0,152.913634,-31.4665115
