,name,vn_kv,type,x,y,coords
233,cubicle40841,11.0,b,152.906018,-31.4656,
234,node67193101,11.0,b,152.914408,-31.468836,
235,cn-cable3269443-t2,11.0,b,152.920808,-31.4721783,
236,cubicle34619,11.0,b,152.921155,-31.4697341,
237,node69936339,11.0,b,152.912351,-31.466795,
238,node24153826,11.0,b,152.922582,-31.4686505,
239,node69877027,11.0,b,152.911959,-31.4686448,
240,cn-cable3338142-t2,11.0,b,152.915583,-31.4682161,
241,node57578105,11.0,b,152.914657,-31.466722,
242,node67193147,11.0,b,152.91442,-31.4683888,
243,cubicle44801,11.0,b,152.916619,-31.4686239,
244,node74092492,11.0,b,152.897784,-31.4666787,
245,cubicle48240,11.0,b,152.921791,-31.4713831,
246,cn-cable3304342-t1,11.0,b,152.920857,-31.4685405,
247,node23107373,11.0,b,152.910035,-31.4676441,
248,node29539460,11.0,b,152.896339,-31.4618081,
249,cubicle34603,11.0,b,152.917407,-31.4687065,
250,cubicle43221,11.0,b,152.905428,-31.4659877,
251,cubicle39022,11.0,b,152.914966,-31.4656848,
252,cn-geo_schematic_cable27949-t1,11.0,b,152.912399,-31.4676613,
253,node101119362,11.0,b,152.915548,-31.4676414,
254,node102518697,11.0,b,152.912905,-31.4669828,
255,cn-cable3338141-t2,11.0,b,152.915381,-31.4681812,
256,node23529726,11.0,b,152.911719,-31.4654863,
257,cn-cable3339030-t2,11.0,b,152.917872,-31.46807,
258,cubicle43565,11.0,b,152.913762,-31.466483,
259,node67195950,11.0,b,152.907851,-31.4664014,
260,cn-cable3338905-t2,11.0,b,152.913847,-31.4665717,
261,cn-cable3338863-t2,11.0,b,152.912182,-31.4664961,
262,cn-geo_schematic_cable1690-t1,11.0,b,152.905991,-31.4653382,
263,node71578394,11.0,b,152.913199,-31.4663653,
264,cubicle50237,11.0,b,152.906719,-31.4648768,
265,node29539497,11.0,b,152.89664,-31.4612687,
266,node23148406,11.0,b,152.895642,-31.4621709,
267,cubicle37764,11.0,b,152.907354,-31.465532,
268,node29539621,11.0,b,152.896664,-31.4620643,
269,cubicle47655,11.0,b,152.905658,-31.4651922,
270,cn-cable3338927-t2,11.0,b,152.91496,-31.4655674,
271,cubicle111148,11.0,b,152.921517,-31.4681497,
272,node100121528,11.0,b,152.917031,-31.467113,
273,node69935461,11.0,b,152.920673,-31.4721417,
274,cn-cable3339126-t2,11.0,b,152.912409,-31.4676189,
275,cubicle50506,11.0,b,152.921372,-31.4721269,
276,cubicle45831,11.0,b,152.915759,-31.4663986,
277,cn-cable2122108-t2,11.0,b,152.89587,-31.4616346,
278,cn-cable3338466-t2,11.0,b,152.905027,-31.4657604,
279,cn-busbar254942-t2,11.0,b,152.91903,-31.4706068,
280,node24046336,11.0,b,152.905876,-31.4653192,
281,node36726535,11.0,b,152.921435,-31.4683603,
282,node65782890,11.0,b,152.913166,-31.4677965,
283,cn-cable3713957-t2,11.0,b,152.921929,-31.4678687,
284,node67193128,11.0,b,152.914534,-31.468461,
285,cubicle33464,11.0,b,152.913345,-31.4661849,
286,node84230737,11.0,b,152.903841,-31.4679035,
287,node23378215,11.0,b,152.920852,-31.4685328,
288,cn-cable3338856-t2,11.0,b,152.911729,-31.4659927,
289,node67830826,11.0,b,152.894118,-31.4625419,
290,cn-simulated84625474_202755-t1,11.0,b,152.915972,-31.4676748,
291,cn-cable3338220-t2,11.0,b,152.911045,-31.4672667,
292,node59740730,11.0,b,152.912386,-31.4676305,
293,cubicle37885,11.0,b,152.915192,-31.4656172,
294,cn-cable3339044-t2,11.0,b,152.915666,-31.4655364,
295,node161553353,11.0,b,152.909593,-31.4664215,
296,cn-cable3338957-t2,11.0,b,152.915851,-31.4660347,
297,cn-cable3338748-t2,11.0,b,152.907438,-31.465606,
298,node71578873,11.0,b,152.91495,-31.4660335,
299,node57577377,11.0,b,152.906024,-31.4652982,
300,cubicle37426,11.0,b,152.905829,-31.4652718,
301,node151251899,11.0,b,152.914561,-31.4667554,
302,cubicle35158,11.0,b,152.904838,-31.4651638,
303,node71578846,11.0,b,152.915095,-31.4673387,
304,node23398575,11.0,b,152.896801,-31.4645406,
305,node23220058,11.0,b,152.916741,-31.4678253,
306,cn-busbar88081-t1,11.0,b,152.914746,-31.4667871,
307,node69876850,11.0,b,152.911388,-31.4681823,
308,cubicle48772,11.0,b,152.904725,-31.4657631,
309,cubicle33460,11.0,b,152.917014,-31.4686761,
310,node65782807,11.0,b,152.911009,-31.4677418,
311,cn-cable3336351-t2,11.0,b,152.920603,-31.4705971,
312,cn-cable3338908-t2,11.0,b,152.913442,-31.4664682,
313,node69935634,11.0,b,152.92028,-31.4714702,
314,cn-cable3338145-t2,11.0,b,152.916561,-31.4683882,
315,cubicle45948,11.0,b,152.912435,-31.4664598,
