,vm_pu,name,vn_kv,type,x,y,coords
93,0.9677038322470272,node65782798,11.0,b,152.911174,-31.4674786,
94,0.9677038617799392,node59740707,11.0,b,152.912414,-31.4676206,
95,0.9672543814447272,cubicle36297,11.0,b,152.904872,-31.4649949,
96,0.9514777936942489,cubicle37892,11.0,b,152.913834,-31.4671045,
97,0.9514777845736119,cubicle33467,11.0,b,152.914179,-31.4691294,
98,0.9885589097227836,cubicle41037,11.0,b,152.894173,-31.4632754,
99,0.9885589292382968,cubicle46713,11.0,b,152.894776,-31.4625294,
100,0.9514777510230626,cn-cable3338148-t2,11.0,b,152.91695,-31.4684469,
101,0.967703829039087,cubicle102861,11.0,b,152.910787,-31.4678319,
102,0.9514777811081676,node67193624,11.0,b,152.918544,-31.4682765,
103,0.9514777856947397,cn-geo_schematic_cable27524-t2,11.0,b,152.914668,-31.4667337,
104,0.9672543697812638,cubicle69503,11.0,b,152.904949,-31.4634754,
105,0.9995039643016538,cn-geo_schematic_cable380329-t1,11.0,b,152.895608,-31.4649101,
106,0.9514777532997946,cn-cable3338181-t2,11.0,b,152.915252,-31.4690406,
107,0.951477747522102,node102021130,11.0,b,152.917665,-31.4686577,
108,0.9672543746797925,cubicle69500,11.0,b,152.904743,-31.4644956,
109,0.9544772333070368,node69935372,11.0,b,152.921568,-31.4722963,
110,0.9514778207033523,cn-geo_schematic_cable1841-t2,11.0,b,152.914661,-31.4667616,
111,0.9514777550417979,cn-cable3338172-t2,11.0,b,152.916566,-31.4686192,
112,0.9544772039683289,cubicle45981,11.0,b,152.921795,-31.4706225,
113,0.9991452684195821,node29539706,11.0,b,152.901546,-31.4666928,
114,0.954477210831675,cn-cable3336363-t2,11.0,b,152.922016,-31.4694526,
115,0.9819234984295225,node79636605,11.0,b,152.921534,-31.4683737,
116,0.9514777303672293,cn-cable3338913-t2,11.0,b,152.913336,-31.4661787,
117,0.9514777601459621,node71578449,11.0,b,152.914272,-31.4664957,
118,0.9980275926366866,node84338515,11.0,b,152.919042,-31.4705945,
