name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type
service_point1747058,893,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point651368,989,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point626965,814,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842232,1069,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point584795,490,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835293,1141,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point656176,730,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point659923,590,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point627535,61,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747531,721,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point601889,551,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point570141,560,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point678581,1138,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point575509,1139,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747053,782,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point639727,289,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654998,400,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2529334,863,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654425,1012,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841969,985,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point675143,971,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point630568,63,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842016,1168,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point3005552,684,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747308,1007,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point623192,209,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535393,646,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point650762,1077,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point657961,744,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point634872,935,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748043,786,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748093,251,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point664170,661,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654295,501,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1766401,1145,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point607390,40,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point614579,585,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point588310,152,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point676266,946,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835292,612,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747530,384,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point566435,1120,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point599435,1167,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2578161,1152,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point586558,902,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point613226,713,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point563436,279,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654382,11,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point648846,173,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point614030,403,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point668953,399,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535395,620,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point626832,1061,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point610401,243,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point614078,926,0.001,0.0003,0.0,0.0,,1.0,True,wye
